algoritmo,tamanho_labirinto,indice_labirinto,tempo_execucao_ms,nos_unicos_visitados,encontrou_caminho,comprimento_passos_totais,memoria_kb,tempo_treinamento_ms,episodios_treinamento,taxa_aprendizado,fator_desconto,exploracao_inicial,exploracao_final,total_atualizacoes
Q-Learning,pequeno,1,1356.24,64,False,4951,206.54,990442.15,1000,0.3,0.9,1.0,0.1,1881803
Q-Learning,pequeno,2,696.57,100,True,2477,152.32,990442.15,1000,0.3,0.9,1.0,0.1,1881803
Q-Learning,pequeno,3,1485.42,91,False,5027,213.9,990442.15,1000,0.3,0.9,1.0,0.1,1881803
Q-Learning,pequeno,4,1512.97,115,False,5030,214.01,990442.15,1000,0.3,0.9,1.0,0.1,1881803
Q-Learning,pequeno,5,1477.26,92,False,4931,222.31,990442.15,1000,0.3,0.9,1.0,0.1,1881803
Q-Learning,pequeno,6,1473.75,89,False,4823,204.9,990442.15,1000,0.3,0.9,1.0,0.1,1881803
Q-Learning,pequeno,7,1490.44,61,False,4988,205.82,990442.15,1000,0.3,0.9,1.0,0.1,1881803
Q-Learning,pequeno,8,1501.22,143,False,5000,212.43,990442.15,1000,0.3,0.9,1.0,0.1,1881803
Q-Learning,pequeno,9,1473.38,86,False,5026,227.42,990442.15,1000,0.3,0.9,1.0,0.1,1881803
Q-Learning,pequeno,10,1476.18,110,False,4931,210.29,990442.15,1000,0.3,0.9,1.0,0.1,1881803
Q-Learning,pequeno,11,1492.59,128,False,4880,205.87,990442.15,1000,0.3,0.9,1.0,0.1,1881803
Q-Learning,pequeno,12,1520.3,102,False,4944,210.21,990442.15,1000,0.3,0.9,1.0,0.1,1881803
Q-Learning,pequeno,13,371.15,76,True,1269,14.34,990442.15,1000,0.3,0.9,1.0,0.1,1881803
Q-Learning,pequeno,14,1516.77,160,False,5016,199.62,990442.15,1000,0.3,0.9,1.0,0.1,1881803
Q-Learning,pequeno,15,1502.88,82,False,4940,249.06,990442.15,1000,0.3,0.9,1.0,0.1,1881803
Q-Learning,pequeno,16,1472.17,80,False,4898,220.47,990442.15,1000,0.3,0.9,1.0,0.1,1881803
Q-Learning,pequeno,17,484.32,114,True,1661,23.34,990442.15,1000,0.3,0.9,1.0,0.1,1881803
Q-Learning,pequeno,18,650.66,112,True,2105,44.42,990442.15,1000,0.3,0.9,1.0,0.1,1881803
Q-Learning,pequeno,19,1498.66,88,False,5075,234.97,990442.15,1000,0.3,0.9,1.0,0.1,1881803
Q-Learning,pequeno,20,1480.23,88,False,4994,212.72,990442.15,1000,0.3,0.9,1.0,0.1,1881803
