algoritmo,tamanho_labirinto,indice_labirinto,tempo_execucao_ms,nos_unicos_visitados,encontrou_caminho,comprimento_passos_totais,memoria_kb,tempo_treinamento_ms,episodios_treinamento,taxa_aprendizado,fator_desconto,exploracao_inicial,exploracao_final,total_atualizacoes
Q-Learning,pequeno,1,1486.03,77,False,4950,212.25,1686807.78,1000,0.05,0.9,1.0,0.1,3250079
Q-Learning,pequeno,2,926.05,132,True,3145,202.56,1686807.78,1000,0.05,0.9,1.0,0.1,3250079
Q-Learning,pequeno,3,1473.05,91,False,5043,228.41,1686807.78,1000,0.05,0.9,1.0,0.1,3250079
Q-Learning,pequeno,4,546.69,91,True,1879,30.06,1686807.78,1000,0.05,0.9,1.0,0.1,3250079
Q-Learning,pequeno,5,1495.92,152,False,4988,221.12,1686807.78,1000,0.05,0.9,1.0,0.1,3250079
Q-Learning,pequeno,6,1478.84,163,False,5052,236.07,1686807.78,1000,0.05,0.9,1.0,0.1,3250079
Q-Learning,pequeno,7,1483.02,50,False,4972,204.6,1686807.78,1000,0.05,0.9,1.0,0.1,3250079
Q-Learning,pequeno,8,1489.34,112,False,5013,212.93,1686807.78,1000,0.05,0.9,1.0,0.1,3250079
Q-Learning,pequeno,9,483.95,107,True,1661,23.29,1686807.78,1000,0.05,0.9,1.0,0.1,3250079
Q-Learning,pequeno,10,1496.24,111,False,4929,194.78,1686807.78,1000,0.05,0.9,1.0,0.1,3250079
Q-Learning,pequeno,11,1487.95,78,False,4946,239.73,1686807.78,1000,0.05,0.9,1.0,0.1,3250079
Q-Learning,pequeno,12,344.77,56,True,1115,13.04,1686807.78,1000,0.05,0.9,1.0,0.1,3250079
Q-Learning,pequeno,13,937.74,71,True,3109,101.25,1686807.78,1000,0.05,0.9,1.0,0.1,3250079
Q-Learning,pequeno,14,919.66,154,True,3157,130.89,1686807.78,1000,0.05,0.9,1.0,0.1,3250079
Q-Learning,pequeno,15,992.23,76,True,2459,60.6,1686807.78,1000,0.05,0.9,1.0,0.1,3250079
Q-Learning,pequeno,16,1484.09,86,False,4973,224.58,1686807.78,1000,0.05,0.9,1.0,0.1,3250079
Q-Learning,pequeno,17,1488.88,123,False,4896,210.4,1686807.78,1000,0.05,0.9,1.0,0.1,3250079
Q-Learning,pequeno,18,1499.79,69,False,4822,210.27,1686807.78,1000,0.05,0.9,1.0,0.1,3250079
Q-Learning,pequeno,19,1494.88,122,False,5038,214.45,1686807.78,1000,0.05,0.9,1.0,0.1,3250079
Q-Learning,pequeno,20,1486.35,76,False,4837,210.99,1686807.78,1000,0.05,0.9,1.0,0.1,3250079
