algoritmo,tamanho_labirinto,indice_labirinto,tempo_execucao_ms,nos_unicos_visitados,encontrou_caminho,comprimento_passos_totais,memoria_kb,tempo_treinamento_ms,episodios_treinamento,taxa_aprendizado,fator_desconto,exploracao_inicial,exploracao_final,total_atualizacoes
Q-Learning,pequeno,1,1161.16,103,True,3941,148.35,935505.98,500,0.1,0.8,1.0,0.05,1827460
Q-Learning,pequeno,2,1476.36,89,False,4997,307.81,935505.98,500,0.1,0.8,1.0,0.05,1827460
Q-Learning,pequeno,3,372.51,111,True,1271,20.34,935505.98,500,0.1,0.8,1.0,0.05,1827460
Q-Learning,pequeno,4,1480.17,117,False,4907,221.01,935505.98,500,0.1,0.8,1.0,0.05,1827460
Q-Learning,pequeno,5,1467.85,93,False,4935,248.73,935505.98,500,0.1,0.8,1.0,0.05,1827460
Q-Learning,pequeno,6,1469.53,134,False,5003,226.21,935505.98,500,0.1,0.8,1.0,0.05,1827460
Q-Learning,pequeno,7,1496.38,71,False,4923,202.31,935505.98,500,0.1,0.8,1.0,0.05,1827460
Q-Learning,pequeno,8,1473.61,167,False,4880,220.1,935505.98,500,0.1,0.8,1.0,0.05,1827460
Q-Learning,pequeno,9,529.19,75,True,1763,111.08,935505.98,500,0.1,0.8,1.0,0.05,1827460
Q-Learning,pequeno,10,1483.77,107,False,4928,208.48,935505.98,500,0.1,0.8,1.0,0.05,1827460
Q-Learning,pequeno,11,1482.2,98,False,5024,226.69,935505.98,500,0.1,0.8,1.0,0.05,1827460
Q-Learning,pequeno,12,1488.36,88,False,5083,230.48,935505.98,500,0.1,0.8,1.0,0.05,1827460
Q-Learning,pequeno,13,1385.23,84,True,4729,199.24,935505.98,500,0.1,0.8,1.0,0.05,1827460
Q-Learning,pequeno,14,1488.0,71,False,4889,200.35,935505.98,500,0.1,0.8,1.0,0.05,1827460
Q-Learning,pequeno,15,1476.77,80,False,5029,228.15,935505.98,500,0.1,0.8,1.0,0.05,1827460
Q-Learning,pequeno,16,1490.87,94,False,4983,220.95,935505.98,500,0.1,0.8,1.0,0.05,1827460
Q-Learning,pequeno,17,1496.59,69,False,4989,219.54,935505.98,500,0.1,0.8,1.0,0.05,1827460
Q-Learning,pequeno,18,1493.67,92,False,4903,207.23,935505.98,500,0.1,0.8,1.0,0.05,1827460
Q-Learning,pequeno,19,1483.33,84,False,5086,230.85,935505.98,500,0.1,0.8,1.0,0.05,1827460
Q-Learning,pequeno,20,1477.37,94,False,5026,223.19,935505.98,500,0.1,0.8,1.0,0.05,1827460
