algoritmo,tamanho_labirinto,indice_labirinto,tempo_execucao_ms,nos_unicos_visitados,encontrou_caminho,comprimento_passos_totais,memoria_kb,tempo_treinamento_ms,episodios_treinamento,taxa_aprendizado,fator_desconto,exploracao_inicial,exploracao_final,total_atualizacoes
Q-Learning,pequeno,1,1470.04,96,False,5017,216.66,1290036.27,1000,0.1,0.9,1.0,0.05,2504334
Q-Learning,pequeno,2,397.32,71,True,1387,73.62,1290036.27,1000,0.1,0.9,1.0,0.05,2504334
Q-Learning,pequeno,3,1472.58,93,False,5037,228.02,1290036.27,1000,0.1,0.9,1.0,0.05,2504334
Q-Learning,pequeno,4,1482.88,89,False,4978,244.7,1290036.27,1000,0.1,0.9,1.0,0.05,2504334
Q-Learning,pequeno,5,1473.36,60,False,4882,213.58,1290036.27,1000,0.1,0.9,1.0,0.05,2504334
Q-Learning,pequeno,6,714.65,94,True,2389,62.46,1290036.27,1000,0.1,0.9,1.0,0.05,2504334
Q-Learning,pequeno,7,1491.0,76,False,4996,215.64,1290036.27,1000,0.1,0.9,1.0,0.05,2504334
Q-Learning,pequeno,8,1477.77,120,False,5012,227.33,1290036.27,1000,0.1,0.9,1.0,0.05,2504334
Q-Learning,pequeno,9,633.77,115,True,2165,47.79,1290036.27,1000,0.1,0.9,1.0,0.05,2504334
Q-Learning,pequeno,10,1466.7,57,False,4915,205.38,1290036.27,1000,0.1,0.9,1.0,0.05,2504334
Q-Learning,pequeno,11,972.67,143,True,3257,118.38,1290036.27,1000,0.1,0.9,1.0,0.05,2504334
Q-Learning,pequeno,12,1465.74,86,False,4914,221.34,1290036.27,1000,0.1,0.9,1.0,0.05,2504334
Q-Learning,pequeno,13,1441.5,83,True,4861,214.17,1290036.27,1000,0.1,0.9,1.0,0.05,2504334
Q-Learning,pequeno,14,1462.13,86,False,4916,316.44,1290036.27,1000,0.1,0.9,1.0,0.05,2504334
Q-Learning,pequeno,15,1467.4,111,False,4984,225.85,1290036.27,1000,0.1,0.9,1.0,0.05,2504334
Q-Learning,pequeno,16,1475.35,99,False,5017,213.29,1290036.27,1000,0.1,0.9,1.0,0.05,2504334
Q-Learning,pequeno,17,1460.48,64,False,4978,219.04,1290036.27,1000,0.1,0.9,1.0,0.05,2504334
Q-Learning,pequeno,18,1479.44,156,False,4975,214.77,1290036.27,1000,0.1,0.9,1.0,0.05,2504334
Q-Learning,pequeno,19,1467.54,129,False,4989,225.39,1290036.27,1000,0.1,0.9,1.0,0.05,2504334
Q-Learning,pequeno,20,1200.75,133,True,3979,149.12,1290036.27,1000,0.1,0.9,1.0,0.05,2504334
